img,threeD,in:Iteration,in:Rotation,in:Terrace,in:MaxHeight,out:AverageView,out:AreaDaylightFacade,out:AreaDaylightPlaza,out:AverageSkyExposurePlaza
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00134.jpg,design_explorer_data/kpf/Json/00134.json,134,-130,0.5,370.5,0.844958,157345.2598,31276,0.513214
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00135.jpg,design_explorer_data/kpf/Json/00135.json,135,-130,0.6,381.5,0.842125,154069.2318,31076,0.512638
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00136.jpg,design_explorer_data/kpf/Json/00136.json,136,-130,0.7,381.5,0.838886,152923.6959,30601,0.510537
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00137.jpg,design_explorer_data/kpf/Json/00137.json,137,-130,0.8,392.5,0.837975,152195.0222,30051,0.510187
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00138.jpg,design_explorer_data/kpf/Json/00138.json,138,-130,0.9,381.5,0.834296,146384.4351,30002,0.510738
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00139.jpg,design_explorer_data/kpf/Json/00139.json,139,-130,1,381.5,0.832978,144315.2122,29678,0.510928
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00140.jpg,design_explorer_data/kpf/Json/00140.json,140,-140,0.1,414.5,0.850135,151519.6435,30803.78839,0.523482
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00141.jpg,design_explorer_data/kpf/Json/00141.json,141,-140,0.2,403.5,0.844249,149777.8377,30253.78839,0.520119
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00142.jpg,design_explorer_data/kpf/Json/00142.json,142,-140,0.3,392.5,0.838394,148003.032,29653.78839,0.517795
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00143.jpg,design_explorer_data/kpf/Json/00143.json,143,-140,0.4,370.5,0.828116,143468.0963,28978.78839,0.514827
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00144.jpg,design_explorer_data/kpf/Json/00144.json,144,-140,0.5,359.5,0.822403,141216.7748,28678.78839,0.513087
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00145.jpg,design_explorer_data/kpf/Json/00145.json,145,-140,0.6,348.5,0.817347,138521.4848,28378.78839,0.512076
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00146.jpg,design_explorer_data/kpf/Json/00146.json,146,-140,0.7,337.5,0.811942,136345.8404,27953.78839,0.511161
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00147.jpg,design_explorer_data/kpf/Json/00147.json,147,-140,0.8,326.5,0.806687,134566.1961,27328.78839,0.510131
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00148.jpg,design_explorer_data/kpf/Json/00148.json,148,-140,0.9,304.5,0.797756,129817.1318,27078.78839,0.509432
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00149.jpg,design_explorer_data/kpf/Json/00149.json,149,-140,1,293.5,0.793174,127672.8746,26753.78839,0.509454
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00150.jpg,design_explorer_data/kpf/Json/00150.json,150,-150,0.1,414.5,0.850842,145975.9651,33140,0.549726
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00151.jpg,design_explorer_data/kpf/Json/00151.json,151,-150,0.2,403.5,0.844828,144307.9139,32565,0.546675
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00152.jpg,design_explorer_data/kpf/Json/00152.json,152,-150,0.3,392.5,0.838837,142540.8627,32190,0.544256
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00153.jpg,design_explorer_data/kpf/Json/00153.json,153,-150,0.4,370.5,0.827647,137418.8115,31740,0.541211
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00154.jpg,design_explorer_data/kpf/Json/00154.json,154,-150,0.5,359.5,0.821777,135169.2177,31565,0.539891
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00155.jpg,design_explorer_data/kpf/Json/00155.json,155,-150,0.6,348.5,0.816132,132328.9378,31415,0.538752
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00156.jpg,design_explorer_data/kpf/Json/00156.json,156,-150,0.7,337.5,0.810459,130201.3781,31165,0.5376
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00157.jpg,design_explorer_data/kpf/Json/00157.json,157,-150,0.8,326.5,0.805057,128142.3099,30815,0.536743
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00158.jpg,design_explorer_data/kpf/Json/00158.json,158,-150,0.9,304.5,0.795131,123180.2758,30465,0.536018
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00159.jpg,design_explorer_data/kpf/Json/00159.json,159,-150,1,293.5,0.790548,121154.2075,30315,0.535864
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00160.jpg,design_explorer_data/kpf/Json/00160.json,160,-160,0.1,337.5,0.785549,127967.3758,20211.55548,0.510998
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00161.jpg,design_explorer_data/kpf/Json/00161.json,161,-160,0.2,326.5,0.764604,124012.7147,17386.55548,0.501368
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00162.jpg,design_explorer_data/kpf/Json/00162.json,162,-160,0.3,315.5,0.755855,120692.4944,17386.55548,0.500385
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00163.jpg,design_explorer_data/kpf/Json/00163.json,163,-160,0.4,304.5,0.748393,118503.4944,16786.55548,0.498012
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00164.jpg,design_explorer_data/kpf/Json/00164.json,164,-160,0.5,293.5,0.728442,114611.8609,15886.55548,0.492638
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00165.jpg,design_explorer_data/kpf/Json/00165.json,165,-160,0.6,282.5,0.719297,111387.6681,16111.55548,0.492718
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00166.jpg,design_explorer_data/kpf/Json/00166.json,166,-160,0.7,260.5,0.698166,106528.3375,15640.55548,0.488973
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00167.jpg,design_explorer_data/kpf/Json/00167.json,167,-160,0.8,260.5,0.693634,105592.1447,15465.55548,0.488456
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00168.jpg,design_explorer_data/kpf/Json/00168.json,168,-160,0.9,249.5,0.68532,103382.0345,15690.55548,0.489448
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00169.jpg,design_explorer_data/kpf/Json/00169.json,169,-160,1,238.5,0.673899,101473.6765,15743.55548,0.488449
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00170.jpg,design_explorer_data/kpf/Json/00170.json,170,-170,0.1,304.5,0.74157,118222.1327,13566.71542,0.489283
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00171.jpg,design_explorer_data/kpf/Json/00171.json,171,-170,0.2,304.5,0.72964,116125.7569,12622.71542,0.485837
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00172.jpg,design_explorer_data/kpf/Json/00172.json,172,-170,0.3,282.5,0.702728,111336.1327,12622.71542,0.478967
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00173.jpg,design_explorer_data/kpf/Json/00173.json,173,-170,0.4,271.5,0.688565,108322.1327,12622.71542,0.477195
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00174.jpg,design_explorer_data/kpf/Json/00174.json,174,-170,0.5,260.5,0.677577,104993.7569,12622.71542,0.476857
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00175.jpg,design_explorer_data/kpf/Json/00175.json,175,-170,0.6,260.5,0.672637,104630.7569,12622.71542,0.476284
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00176.jpg,design_explorer_data/kpf/Json/00176.json,176,-170,0.7,249.5,0.652906,101034.475,12622.71542,0.474702
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00177.jpg,design_explorer_data/kpf/Json/00177.json,177,-170,0.8,227.5,0.634715,97731.28713,12622.71542,0.474136
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00178.jpg,design_explorer_data/kpf/Json/00178.json,178,-170,0.9,227.5,0.625697,97842.00528,12622.71542,0.474273
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00179.jpg,design_explorer_data/kpf/Json/00179.json,179,-170,1,216.5,0.617145,97679.47504,12622.71542,0.472948
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00180.jpg,design_explorer_data/kpf/Json/00180.json,180,-180,0.1,304.5,0.744949,120758,12293.26956,0.499946
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00181.jpg,design_explorer_data/kpf/Json/00181.json,181,-180,0.2,304.5,0.731677,118382,12293.26956,0.496335
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00182.jpg,design_explorer_data/kpf/Json/00182.json,182,-180,0.3,282.5,0.70192,113311,12293.26956,0.488559
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00183.jpg,design_explorer_data/kpf/Json/00183.json,183,-180,0.4,271.5,0.685959,110099,12293.26956,0.486911
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00184.jpg,design_explorer_data/kpf/Json/00184.json,184,-180,0.5,260.5,0.673736,106689,12293.26956,0.486665
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00185.jpg,design_explorer_data/kpf/Json/00185.json,185,-180,0.6,260.5,0.668214,106128,12293.26956,0.48604
