name,img,threeD,in: Max Height[ft],in: Average Tower Floorplate[sqft],in: Position Index,out: Plaza Analysis Area[sqft],out: Average Daylight Hours Equinox[hr],out: Facade Analysis Area[sqft],out: Area with View[sqft],out: Empire State[sqft],out: Central Park[sqft],out: East River[sqft],out: Daylight Evaluation Score[%]
0334,design_explorer_data/kpf/Images/0334.png,design_explorer_data/kpf/Json/0334.json,938.0,19380.0,3,42000.0,3.994651,575529.339088,284011.526265,70469.409917,142684.727049,144086.029627,95.138333
0335,design_explorer_data/kpf/Images/0335.png,design_explorer_data/kpf/Json/0335.json,1008.0,17760.0,3,42000.0,3.994651,589863.60514,298345.792316,74052.97643,149851.860075,155287.369174,95.048333
0336,design_explorer_data/kpf/Images/0336.png,design_explorer_data/kpf/Json/0336.json,980.0,18342.857143,3,42000.0,3.994651,585034.684467,292737.024112,72845.746262,146659.347024,155027.526832,94.694167
0337,design_explorer_data/kpf/Images/0337.png,design_explorer_data/kpf/Json/0337.json,1064.0,16852.173913,3,42000.0,3.994651,606363.348277,314065.687921,78177.912214,157323.678928,171024.024689,95.3275
0338,design_explorer_data/kpf/Images/0338.png,design_explorer_data/kpf/Json/0338.json,1134.0,15600.0,3,42000.0,3.994651,620697.614329,329583.788453,81761.478727,165084.02216,187599.7712,95.761667
0339,design_explorer_data/kpf/Images/0339.png,design_explorer_data/kpf/Json/0339.json,1036.0,17373.134328,3,42000.0,4.012905,601534.427605,315136.476772,79269.841259,158151.104866,173499.922169,95.001667
0340,design_explorer_data/kpf/Images/0340.png,design_explorer_data/kpf/Json/0340.json,1106.0,16050.0,3,42000.0,4.012905,615868.693656,329470.742824,82853.407772,165318.237892,184250.621707,95.615833
0341,design_explorer_data/kpf/Images/0341.png,design_explorer_data/kpf/Json/0341.json,1190.0,14907.692308,3,42000.0,4.012905,637197.357466,350799.406634,88185.573725,175982.569797,203761.732034,95.664167
0342,design_explorer_data/kpf/Images/0342.png,design_explorer_data/kpf/Json/0342.json,1274.0,13885.714286,3,42000.0,4.017865,657666.116161,382638.978673,94317.824402,192853.112498,231001.988628,96.108333
0343,design_explorer_data/kpf/Images/0343.png,design_explorer_data/kpf/Json/0343.json,812.0,22800.0,3,45150.0,4.10226,541006.542943,249638.707345,61496.833218,124531.087267,111655.187812,94.853333
0344,design_explorer_data/kpf/Images/0344.png,design_explorer_data/kpf/Json/0344.json,840.0,21781.132075,3,45150.0,4.10226,547474.767834,256106.932236,63113.889441,127765.199713,117543.448558,95.6275
0345,design_explorer_data/kpf/Images/0345.png,design_explorer_data/kpf/Json/0345.json,896.0,20400.0,3,45150.0,4.10226,563974.510971,272606.675374,67238.825225,136015.071281,131841.999462,95.825
0346,design_explorer_data/kpf/Images/0346.png,design_explorer_data/kpf/Json/0346.json,966.0,18619.354839,3,45150.0,4.10226,578308.777023,286940.941425,70822.391738,143182.204307,143690.853777,96.094167
0347,design_explorer_data/kpf/Images/0347.png,design_explorer_data/kpf/Json/0347.json,882.0,20871.428571,3,45150.0,4.10226,562398.807293,271014.662915,66844.899306,135221.783182,132382.609204,95.895
0348,design_explorer_data/kpf/Images/0348.png,design_explorer_data/kpf/Json/0348.json,938.0,19620.0,3,45150.0,4.10226,578898.55043,287514.406052,70969.83509,143471.654751,146301.55654,96.354167
0349,design_explorer_data/kpf/Images/0349.png,design_explorer_data/kpf/Json/0349.json,1008.0,17981.538462,3,45150.0,4.10226,593232.816481,301848.672104,74553.401603,150638.787776,157502.896088,96.266667
0350,design_explorer_data/kpf/Images/0350.png,design_explorer_data/kpf/Json/0350.json,980.0,18571.428571,3,45150.0,4.10226,588403.895809,296239.903899,73346.171435,147446.274725,157243.053745,95.800833
0351,design_explorer_data/kpf/Images/0351.png,design_explorer_data/kpf/Json/0351.json,1064.0,17060.869565,3,45150.0,4.10226,609732.559618,317568.567709,78678.337387,158110.60663,173239.551603,96.434167
0352,design_explorer_data/kpf/Images/0352.png,design_explorer_data/kpf/Json/0352.json,1134.0,15794.594595,3,45150.0,4.10226,624066.82567,333086.668241,82261.9039,165870.949861,189815.298114,96.8225
