name,img,threeD,in: Max Height,in: Average Tower Floorplate,in: Position Index,out: Plaza Analysis Area,out: Average Daylight Hours Equinox,out: Facade Analysis Area,out: Area with View,out: Empire State,out: Central Park,out: East River,out: Daylight Evaluation Score
0151,design_explorer_data/kpf/Images/0151.png,design_explorer_data/kpf/Json/0151.json,882.0,20871.428571,4,37775.0,5.18598,554158.974972,259306.474425,77989.831688,126122.279951,98135.811295,87.85
0152,design_explorer_data/kpf/Images/0152.png,design_explorer_data/kpf/Json/0152.json,756.0,25174.468085,4,37775.0,5.18598,526694.177124,232377.500008,71502.754018,112498.323985,75281.286538,87.480833
0153,design_explorer_data/kpf/Images/0153.png,design_explorer_data/kpf/Json/0153.json,784.0,23975.510204,4,37775.0,5.18598,533162.402015,238845.724899,73119.810241,115732.43643,80636.600972,87.453333
0154,design_explorer_data/kpf/Images/0154.png,design_explorer_data/kpf/Json/0154.json,840.0,22324.528302,4,37775.0,5.18598,549662.145153,255345.468036,77244.746025,123982.307999,94133.467404,88.0875
0155,design_explorer_data/kpf/Images/0155.png,design_explorer_data/kpf/Json/0155.json,910.0,20255.172414,4,37775.0,5.18598,563996.411204,269679.734088,80828.312538,131149.441024,107163.226303,88.309167
0156,design_explorer_data/kpf/Images/0156.png,design_explorer_data/kpf/Json/0156.json,812.0,22870.588235,4,37775.0,5.18598,539630.626906,247483.369917,74736.866464,119293.924776,90310.619862,87.8525
0157,design_explorer_data/kpf/Images/0157.png,design_explorer_data/kpf/Json/0157.json,868.0,21360.0,4,37775.0,5.18598,556130.370044,263983.113054,78861.802248,127543.796345,104978.603705,88.581667
0158,design_explorer_data/kpf/Images/0158.png,design_explorer_data/kpf/Json/0158.json,938.0,19440.0,4,37775.0,5.18598,570464.636095,278317.379105,82445.368761,134710.929371,117371.191562,88.9525
0159,design_explorer_data/kpf/Images/0159.png,design_explorer_data/kpf/Json/0159.json,910.0,20131.034483,4,37775.0,5.18598,565635.715423,276380.654756,81238.138593,132870.361429,119587.358586,88.271667
0160,design_explorer_data/kpf/Images/0160.png,design_explorer_data/kpf/Json/0160.json,994.0,18356.25,4,37775.0,5.18598,586964.379232,297709.318566,86570.304545,143534.693334,136365.839648,88.391667
